"timestamp","rif_pos","rif_rot","rif_vel","rif_ang_vel","lif_pos","lif_rot","lif_vel","lif_ang_vel","rPalm_pos","rPalm_rot","rPalm_vel","rPalm_ang_vel","lPalm_pos","lPalm_rot","lPalm_vel","lPalm_ang_vel","cam_pos","cam_rot","cam_vel","cam_ang_vel","tar_pos","tar_rot","tar_vel","tar_ang_vel","Is Eye Tracking Enabled and Valid","gaze origin","gaze direction","gaze rotation","head movement direction","head velocity"
"1702074810449","(0.180233, -0.219117, 0.301164)","(-0.026724, -0.152297, 0.259211, -0.953363)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.172714, -0.253183, 0.197454)","(0.311205, -0.058211, 0.304764, -0.898266)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, -0.000001)","null","null","null","null","(0.014528, 0.021913, -0.026892)","(0.239858, 0.096692, 0.016703, 0.965836)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.014847, 0.021730, -0.026690)","(0.194148, -0.462345, 0.865184)","(0.239858, 0.096692, 0.016703, 0.965836)","(0.429808, 0.574428, -0.696632)","(0.000000, 0.000000, 0.000000)"
"1702074810467","(0.177842, -0.218666, 0.298466)","(-0.034553, -0.149077, 0.259965, -0.953415)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.171508, -0.251055, 0.194434)","(0.311060, -0.056650, 0.304679, -0.898445)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, 0.000000)","null","null","null","null","(0.014311, 0.021962, -0.026937)","(0.239158, 0.096319, 0.016726, 0.966047)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.014663, 0.021835, -0.026806)","(0.194518, -0.461052, 0.865791)","(0.239158, 0.096319, 0.016726, 0.966047)","(0.425908, 0.575177, -0.698407)","(0.000000, 0.000000, 0.000000)"
"1702074810483","(0.176942, -0.217875, 0.295953)","(-0.034553, -0.149077, 0.259965, -0.953415)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.170608, -0.250264, 0.191921)","(0.311060, -0.056650, 0.304679, -0.898445)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.014055, 0.021859, -0.027149)","(0.238747, 0.095813, 0.016312, 0.966206)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.014466, 0.021906, -0.026879)","(0.194283, -0.459826, 0.866496)","(0.238747, 0.095813, 0.016312, 0.966206)","(0.421859, 0.576016, -0.700172)","(0.000000, 0.000000, 0.000000)"
"1702074810499","(0.174760, -0.217919, 0.293835)","(-0.040421, -0.145293, 0.261051, -0.953472)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.169808, -0.248790, 0.189562)","(0.310574, -0.054001, 0.305303, -0.898564)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.013746, 0.021833, -0.027282)","(0.238819, 0.095172, 0.016256, 0.966252)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.014244, 0.021880, -0.027025)","(0.193555, -0.458962, 0.867116)","(0.238819, 0.095172, 0.016256, 0.966252)","(0.417619, 0.576701, -0.702146)","(0.000000, 0.000000, 0.000000)"
"1702074810532","(0.171458, -0.215813, 0.288176)","(-0.041682, -0.137780, 0.263911, -0.953745)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.168201, -0.246503, 0.184036)","(0.313539, -0.047753, 0.308777, -0.896700)","(0.000000, 0.000000, 0.000000)","(-0.000002, 0.000000, 0.000001)","null","null","null","null","(0.013210, 0.021337, -0.027962)","(0.239466, 0.092494, 0.016998, 0.966339)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013721, 0.021655, -0.027395)","(0.191129, -0.458581, 0.867855)","(0.239466, 0.092494, 0.016998, 0.966339)","(0.408437, 0.577348, -0.706999)","(0.000000, 0.000000, 0.000000)"
"1702074810549","(0.170648, -0.214979, 0.285732)","(-0.041682, -0.137780, 0.263911, -0.953745)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.167391, -0.245668, 0.181592)","(0.313538, -0.047753, 0.308777, -0.896700)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.013174, 0.021549, -0.028101)","(0.240193, 0.090959, 0.016742, 0.966309)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013467, 0.021497, -0.027677)","(0.189029, -0.459122, 0.868030)","(0.240193, 0.090959, 0.016742, 0.966309)","(0.403525, 0.576961, -0.710129)","(0.000000, 0.000000, 0.000000)"
"1702074810565","(0.169838, -0.214144, 0.283286)","(-0.041682, -0.137779, 0.263911, -0.953745)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.166580, -0.244833, 0.179146)","(0.313538, -0.047753, 0.308777, -0.896700)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.013214, 0.021522, -0.028119)","(0.239872, 0.089815, 0.016720, 0.966496)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013325, 0.021522, -0.027882)","(0.186516, -0.460108, 0.868051)","(0.239872, 0.089815, 0.016720, 0.966496)","(0.398616, 0.576504, -0.713266)","(0.000000, 0.000000, 0.000000)"
"1702074810582","(0.155747, -0.207692, 0.272123)","(-0.049243, -0.093750, 0.266409, -0.958025)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, -0.000001)","null","null","null","null","(0.161615, -0.239387, 0.168903)","(0.318036, -0.009117, 0.323556, -0.891113)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.013152, 0.021310, -0.028341)","(0.239672, 0.088919, 0.016642, 0.966630)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013273, 0.021522, -0.027994)","(0.184217, -0.460373, 0.868401)","(0.239672, 0.088919, 0.016642, 0.966630)","(0.393992, 0.575986, -0.716247)","(0.000000, 0.000000, 0.000000)"
"1702074810599","(0.142694, -0.206350, 0.265332)","(-0.060388, -0.050533, 0.274790, -0.958275)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.156834, -0.238576, 0.163209)","(0.310150, 0.025072, 0.346990, -0.884747)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.012958, 0.021255, -0.028494)","(0.240108, 0.087923, 0.016340, 0.966618)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013217, 0.021425, -0.028153)","(0.182231, -0.460381, 0.868816)","(0.240108, 0.087923, 0.016340, 0.966618)","(0.389639, 0.575191, -0.719261)","(0.000000, 0.000000, 0.000000)"
"1702074810633","(0.121634, -0.206867, 0.255396)","(-0.085127, 0.019048, 0.278394, -0.956497)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.149933, -0.238286, 0.156260)","(0.288596, 0.080866, 0.376395, -0.876641)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.013001, 0.021210, -0.029018)","(0.241025, 0.085989, 0.015345, 0.966580)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.013025, 0.021331, -0.028541)","(0.178149, -0.461399, 0.869122)","(0.241025, 0.085989, 0.015345, 0.966580)","(0.381228, 0.573104, -0.725408)","(0.000000, 0.000000, 0.000000)"
